instancia, Vo, VHeur, %dHeur, t(seg)
CHRISTOFIDES/P01NoRPP,3,3,0.000,0.002
CHRISTOFIDES/P02NoRPP,66,12,81.818,0.073
CHRISTOFIDES/P03NoRPP,56,28,50.000,T
CHRISTOFIDES/P04NoRPP,45,39,13.333,T
CHRISTOFIDES/P05NoRPP,35,19,45.714,0.182
CHRISTOFIDES/P06NoRPP,60,39,35.000,T
CHRISTOFIDES/P07NoRPP,89,55,38.202,T
CHRISTOFIDES/P08NoRPP,90,61,32.222,T
CHRISTOFIDES/P09NoRPP,46,31,32.609,5.856
CHRISTOFIDES/P10NoRPP,41,31,24.390,0.000
CHRISTOFIDES/P11NoRPP,9,5,44.444,0.000
CHRISTOFIDES/P12NoRPP,10,8,20.000,0.000
CHRISTOFIDES/P13NoRPP,5,4,20.000,0.000
CHRISTOFIDES/P14NoRPP,128,76,40.625,T
CHRISTOFIDES/P15NoRPP,43,3,93.023,2.827
CHRISTOFIDES/P16NoRPP,113,56,50.442,T
CHRISTOFIDES/P17NoRPP,42,35,16.667,24.358
CHRISTOFIDES/P18NoRPP,21,1,95.238,4.890
CHRISTOFIDES/P19NoRPP,90,31,65.556,T
CHRISTOFIDES/P20NoRPP,246,184,25.203,T
DEGREE/D0NoRPP,109,51,53.211,0.000
DEGREE/D1NoRPP,115,0,100.000,0.015
DEGREE/D2NoRPP,274,92,66.423,0.000
DEGREE/D3NoRPP,172,109,36.628,0.027
DEGREE/D4NoRPP,210,0,100.000,0.006
DEGREE/D5NoRPP,313,108,65.495,0.202
DEGREE/D6NoRPP,166,115,30.723,0.549
DEGREE/D7NoRPP,260,0,100.000,0.125
DEGREE/D8NoRPP,457,356,22.101,1.869
DEGREE/D9NoRPP,160,0,100.000,T
DEGREE/D10NoRPP,0,0,0.000,3.144
DEGREE/D11NoRPP,398,0,100.000,T
DEGREE/D12NoRPP,280,0,100.000,T
DEGREE/D13NoRPP,717,0,100.000,T
DEGREE/D14NoRPP,810,335,58.642,T
GRID/G0NoRPP,0,0,0.000,0.000
GRID/G1NoRPP,0,0,0.000,0.015
GRID/G2NoRPP,0,0,0.000,0.000
GRID/G3NoRPP,2,2,0.000,0.031
GRID/G4NoRPP,0,0,0.000,0.390
GRID/G5NoRPP,4,0,100.000,0.000
GRID/G6NoRPP,9,4,55.556,0.015
GRID/G7NoRPP,1,0,100.000,0.201
GRID/G8NoRPP,4,0,100.000,0.062
GRID/G9NoRPP,2,0,100.000,9.995
GRID/G10NoRPP,0,0,0.000,T
GRID/G11NoRPP,4,0,100.000,T
GRID/G12NoRPP,15,0,100.000,T
GRID/G13NoRPP,11,1,90.909,T
GRID/G14NoRPP,14,9,35.714,T
GRID/G15NoRPP,26,16,38.462,T
RANDOM/R0NoRPP,1742,0,100.000,0.005
RANDOM/R1NoRPP,4253,0,100.000,3.419
RANDOM/R2NoRPP,5638,0,100.000,0.007
RANDOM/R3NoRPP,18453,3371,81.732,0.253
RANDOM/R4NoRPP,17316,0,100.000,0.103
RANDOM/R5NoRPP,298,0,100.000,T
RANDOM/R6NoRPP,12478,0,100.000,T
RANDOM/R7NoRPP,9405,5331,43.317,T
RANDOM/R8NoRPP,14847,0,100.000,T
RANDOM/R9NoRPP,17523,0,100.000,T
RANDOM/R10NoRPP,17405,0,100.000,T
